model;n_padded;k;style;hit;recall;map;ndcg;replication;n
similarity-lastevent;;20;NA;0.2716236722306525;0.2716236722306525;0.15441633823851703;0.19986000036896637;1;100.0
similarity-lastevent;;20;NA;0.26858877086494687;0.26858877086494687;0.14965949049048266;0.19387744619365474;1;150.0
similarity-lastevent;;20;NA;0.30963665086887837;0.30963665086887837;0.1691126647671114;0.22504588526846311;2;100.0
similarity-lastevent;;20;NA;0.28751974723538704;0.28751974723538704;0.1630716496690848;0.2126105761270383;2;150.0
similarity-lastevent;;20;NA;0.30415430267062316;0.30415430267062316;0.179744911952069;0.2293400861076973;3;100.0
similarity-lastevent;;20;NA;0.30415430267062316;0.30415430267062316;0.17409952655150218;0.2244094539926156;3;150.0
similarity-lastevent;;20;NA;0.28169014084507044;0.28169014084507044;0.15268949351221625;0.20013741507213628;4;100.0
similarity-lastevent;;20;NA;0.2676056338028169;0.2676056338028169;0.147014807527315;0.19202830191103146;4;150.0
similarity-lastevent;;20;NA;0.312202852614897;0.312202852614897;0.19520355910024387;0.23918925174651282;5;100.0
similarity-lastevent;;20;NA;0.29952456418383516;0.29952456418383516;0.1845248147378041;0.22483888036360844;5;150.0
similarity-lastevent;;20;NA;0.31357254290171604;0.31357254290171604;0.17758522573355728;0.22865227320396736;6;100.0
similarity-lastevent;;20;NA;0.3042121684867395;0.3042121684867395;0.1704382162058225;0.22004356680960604;6;150.0
similarity-lastevent;;20;NA;0.2704791344667697;0.2704791344667697;0.15376610464118418;0.19823052644591482;7;100.0
similarity-lastevent;;20;NA;0.2642967542503864;0.2642967542503864;0.14592822425053584;0.187755223529097;7;150.0
similarity-lastevent;;20;NA;0.28081123244929795;0.28081123244929795;0.15954009123869975;0.2058614849925489;8;100.0
similarity-lastevent;;20;NA;0.2698907956318253;0.2698907956318253;0.15343168727218182;0.19634395835763996;8;150.0
similarity-lastevent;;20;NA;0.29673590504451036;0.29673590504451036;0.17593410530636652;0.2300299691009633;9;100.0
similarity-lastevent;;20;NA;0.2878338278931751;0.2878338278931751;0.16942021424019754;0.22134768468627014;9;150.0
similarity-lastevent;;20;NA;0.28874388254486133;0.28874388254486133;0.16249681254283552;0.21294222570507482;10;100.0
similarity-lastevent;;20;NA;0.27569331158238175;0.27569331158238175;0.15388715467017625;0.2042778331357074;10;150.0
