model,hit,map,ndcg,repl,n_val_c
popularity,0.0561727101236638,0.0207735100259384,0.0297374896025119,1,4771
popularity,0.058065835207524,0.0268213676909388,0.0356327017288386,2,4891
popularity,0.0560767146132999,0.0237879092521216,0.0324306643968453,3,4797
popularity,0.0594266582967147,0.0227715421541836,0.0326650866719029,4,4779
popularity,0.0587362171331636,0.0251759567313445,0.0340216755794849,5,4716
last-random,0.197112366603892,0.1758331051862495,0.1879311640041517,1,4779
last-random,0.2069254984260231,0.1859393662859173,0.1990029945917106,2,4765
last-random,0.2025535598355334,0.1803947103619634,0.1940728104345289,3,4621
last-random,0.1971890077616949,0.1780926490698297,0.1899083732299787,4,4767
last-random,0.1995758218451749,0.1792924745960394,0.1918982898940918,5,4715
last-ordered,0.1949790794979079,0.1460129592652959,0.1723230463009876,1,4780
last-ordered,0.1896333754740834,0.1413028283998819,0.1674769607275884,2,4746
last-ordered,0.196912013536379,0.1446188580853681,0.1721956016897023,3,4728
last-ordered,0.193136639464323,0.1419677560380695,0.1681420295815597,4,4779
last-ordered,0.1911857292759706,0.1388590711699422,0.1668074444746093,5,4765
