model,n,hit,map,ndcg,repl,n_val_c
user-similarity,10,0.2286541244573082,0.1560669040651132,0.1900566586011809,1,4837
user-similarity,10,0.2439024390243902,0.1695817589590915,0.2027857522245574,2,4674
user-similarity,10,0.2396384998512354,0.1661756669521563,0.1999305233550251,3,4742
user-similarity,10,0.2487658295771624,0.1752511100408859,0.2096485724632412,4,4659
user-similarity,10,0.2372316030852616,0.1638028945164115,0.1972311099037733,5,4797
user-similarity,50,0.283138701085843,0.1656994837590858,0.2133749065295975,1,4881
user-similarity,50,0.2835914608622855,0.1720091741709625,0.2163467963959185,2,4778
user-similarity,50,0.28163769852505,0.168141988154202,0.2134078021521025,3,4788
user-similarity,50,0.2772256290970606,0.1637887977820119,0.2076918612218621,4,4729
user-similarity,50,0.2825950031492756,0.1710704967876802,0.2162176444394891,5,4763
user-similarity,100,0.2836894001643385,0.1626035175957937,0.2088504243182704,1,4868
user-similarity,100,0.2764519535374868,0.1636494862992586,0.2077515785657216,2,4735
user-similarity,100,0.2755209429593769,0.159185029322162,0.2052077296660845,3,4751
user-similarity,100,0.2854697196661673,0.1680017332418337,0.2130343170322433,4,4673
user-similarity,100,0.2753959873284055,0.1615640983542555,0.2064428190292487,5,4735
user-similarity,150,0.2795584801528338,0.1567812673647989,0.2031721474734947,1,4711
user-similarity,150,0.2790602655771195,0.1617893023828981,0.2064321669082511,2,4895
user-similarity,150,0.2780904732124244,0.1567514871993826,0.2029025843391951,3,4797
user-similarity,150,0.2785761558532052,0.157921998552895,0.2032153047251025,4,4819
user-similarity,150,0.2775954041854739,0.1563659371392577,0.2003543200691381,5,4874
