emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.33761781454086304
128.0,600.0,0.8,0.001,3.0,0.3581833839416504
32.0,500.0,0.8,0.001,3.0,0.33761781454086304
128.0,400.0,0.8,0.001,3.0,0.35218510031700134
64.0,300.0,0.6,0.001,2.0,0.30991145968437195
32.0,200.0,0.8,0.001,2.0,0.34932875633239746
32.0,600.0,0.6,0.001,1.0,0.3013424873352051
32.0,500.0,0.6,0.001,3.0,0.3121965229511261
96.0,500.0,0.8,0.001,1.0,0.3444730043411255
64.0,500.0,0.6,0.001,2.0,0.3027706444263458
64.0,400.0,0.6,0.001,3.0,0.3221936523914337
32.0,500.0,0.6,0.001,2.0,0.32904884219169617
96.0,400.0,0.8,0.001,2.0,0.36132532358169556
32.0,400.0,0.8,0.001,2.0,0.33361896872520447
32.0,600.0,0.8,0.001,3.0,0.34732934832572937
128.0,200.0,0.8,0.001,3.0,0.3610396981239319
96.0,100.0,0.8,0.001,3.0,0.38617536425590515
128.0,100.0,0.6,0.001,3.0,0.38160526752471924
128.0,200.0,0.6,0.001,3.0,0.3321908116340637
96.0,100.0,0.8,0.001,1.0,0.3904598653316498
64.0,400.0,0.6,0.001,1.0,0.2784918546676636
32.0,200.0,0.8,0.001,1.0,0.37075120210647583
96.0,100.0,0.8,0.001,2.0,0.3873178958892822
96.0,500.0,0.6,0.001,2.0,0.28791773319244385
96.0,200.0,0.6,0.001,1.0,0.33647528290748596
96.0,300.0,0.8,0.001,1.0,0.3858897387981415
64.0,200.0,0.8,0.001,3.0,0.38503286242485046
128.0,500.0,0.6,0.001,3.0,0.2847757637500763
128.0,500.0,0.6,0.001,1.0,0.32476434111595154
128.0,400.0,0.8,0.001,1.0,0.35389888286590576
128.0,200.0,0.8,0.001,2.0,0.38617536425590515
96.0,100.0,0.6,0.001,2.0,0.38503286242485046
96.0,100.0,0.6,0.001,1.0,0.3784632980823517
128.0,200.0,0.6,0.001,1.0,0.3407597839832306
32.0,400.0,0.8,0.001,1.0,0.3470436930656433
32.0,400.0,0.6,0.001,3.0,0.3196229636669159
64.0,200.0,0.8,0.001,1.0,0.3918880224227905
96.0,500.0,0.6,0.001,3.0,0.27592116594314575
128.0,400.0,0.8,0.001,2.0,0.36960867047309875
128.0,500.0,0.8,0.001,3.0,0.3618966042995453
64.0,600.0,0.6,0.001,1.0,0.33190515637397766
64.0,600.0,0.8,0.001,3.0,0.3487575054168701
96.0,500.0,0.6,0.001,1.0,0.2756355404853821
32.0,400.0,0.6,0.001,2.0,0.32990574836730957
96.0,100.0,0.6,0.001,3.0,0.3764638602733612
64.0,100.0,0.8,0.001,1.0,0.3756069839000702
32.0,300.0,0.8,0.001,3.0,0.3627535104751587
32.0,300.0,0.8,0.001,1.0,0.3653241991996765
96.0,400.0,0.6,0.001,1.0,0.2799200117588043
128.0,300.0,0.8,0.001,2.0,0.3904598653316498
64.0,600.0,0.8,0.001,1.0,0.3536132574081421
32.0,600.0,0.6,0.001,3.0,0.31648099422454834
64.0,100.0,0.6,0.001,2.0,0.3810339868068695
32.0,300.0,0.8,0.001,2.0,0.37617823481559753
64.0,200.0,0.6,0.001,1.0,0.34847187995910645
64.0,200.0,0.8,0.001,2.0,0.3618966042995453
64.0,500.0,0.8,0.001,1.0,0.3601827919483185
128.0,300.0,0.6,0.001,1.0,0.3361896574497223
96.0,300.0,0.8,0.001,2.0,0.3738931715488434
128.0,300.0,0.6,0.001,2.0,0.33561840653419495
64.0,500.0,0.8,0.001,3.0,0.3601827919483185
96.0,300.0,0.8,0.001,3.0,0.3718937337398529
64.0,300.0,0.6,0.001,3.0,0.31162524223327637
96.0,300.0,0.6,0.001,2.0,0.34475862979888916
32.0,600.0,0.8,0.001,1.0,0.3481862246990204
32.0,100.0,0.8,0.001,2.0,0.38360467553138733
96.0,300.0,0.6,0.001,3.0,0.30791202187538147
128.0,400.0,0.6,0.001,1.0,0.3067694902420044
96.0,500.0,0.8,0.001,2.0,0.3544701635837555
96.0,200.0,0.6,0.001,3.0,0.34675806760787964
32.0,600.0,0.6,0.001,2.0,0.3039131760597229
32.0,300.0,0.6,0.001,3.0,0.32076549530029297
96.0,600.0,0.8,0.001,3.0,0.3570408523082733
64.0,300.0,0.8,0.001,2.0,0.37617823481559753
32.0,500.0,0.6,0.001,1.0,0.3184804320335388
64.0,100.0,0.6,0.001,3.0,0.37617823481559753
96.0,200.0,0.6,0.001,2.0,0.3441873788833618
32.0,400.0,0.6,0.001,1.0,0.30362752079963684
128.0,100.0,0.8,0.001,1.0,0.3701799511909485
96.0,400.0,0.6,0.001,3.0,0.29962867498397827
96.0,500.0,0.8,0.001,3.0,0.36589545011520386
96.0,200.0,0.8,0.001,3.0,0.38160526752471924
128.0,600.0,0.8,0.001,1.0,0.34218794107437134
128.0,600.0,0.6,0.001,2.0,0.3121965229511261
128.0,100.0,0.8,0.001,2.0,0.3967437744140625
32.0,300.0,0.6,0.001,2.0,0.3121965229511261
64.0,600.0,0.6,0.001,3.0,0.2762067914009094
128.0,500.0,0.8,0.001,1.0,0.34732934832572937
96.0,600.0,0.6,0.001,1.0,0.32562124729156494
64.0,100.0,0.8,0.001,2.0,0.38446158170700073
64.0,300.0,0.8,0.001,3.0,0.38531848788261414
96.0,600.0,0.6,0.001,2.0,0.24850042164325714
128.0,300.0,0.8,0.001,1.0,0.37617823481559753
64.0,200.0,0.6,0.001,2.0,0.3553270399570465
128.0,600.0,0.6,0.001,1.0,0.2610682547092438
96.0,300.0,0.6,0.001,1.0,0.3141959309577942
64.0,300.0,0.6,0.001,1.0,0.3341902196407318
64.0,500.0,0.6,0.001,3.0,0.2976292371749878
64.0,400.0,0.8,0.001,3.0,0.3499000370502472
128.0,600.0,0.8,0.001,2.0,0.35304197669029236
64.0,400.0,0.6,0.001,2.0,0.33761781454086304
96.0,600.0,0.8,0.001,1.0,0.3361896574497223
64.0,500.0,0.8,0.001,2.0,0.3618966042995453
64.0,500.0,0.6,0.001,1.0,0.3241930902004242
128.0,300.0,0.6,0.001,3.0,0.2956298291683197
128.0,400.0,0.6,0.001,3.0,0.2893458902835846
32.0,500.0,0.8,0.001,2.0,0.3481862246990204
64.0,100.0,0.6,0.001,1.0,0.378177672624588
32.0,200.0,0.6,0.001,1.0,0.3341902196407318
128.0,300.0,0.8,0.001,3.0,0.38446158170700073
32.0,100.0,0.8,0.001,3.0,0.3664667308330536
64.0,200.0,0.6,0.001,3.0,0.3518994450569153
128.0,200.0,0.6,0.001,2.0,0.3487575054168701
128.0,100.0,0.6,0.001,2.0,0.3710368573665619
128.0,500.0,0.6,0.001,2.0,0.3176235258579254
96.0,600.0,0.6,0.001,3.0,0.28249073028564453
32.0,200.0,0.6,0.001,3.0,0.35132819414138794
96.0,400.0,0.6,0.001,2.0,0.2973436117172241
64.0,300.0,0.8,0.001,1.0,0.3653241991996765
64.0,600.0,0.6,0.001,2.0,0.29163095355033875
128.0,600.0,0.6,0.001,3.0,0.28620395064353943
128.0,100.0,0.6,0.001,1.0,0.38503286242485046
96.0,400.0,0.8,0.001,1.0,0.36246785521507263
128.0,200.0,0.8,0.001,1.0,0.38874608278274536
128.0,500.0,0.8,0.001,2.0,0.34961438179016113
32.0,100.0,0.6,0.001,2.0,0.3764638602733612
64.0,400.0,0.8,0.001,1.0,0.36389604210853577
128.0,400.0,0.6,0.001,2.0,0.31619536876678467
32.0,500.0,0.8,0.001,1.0,0.3487575054168701
64.0,400.0,0.8,0.001,2.0,0.34104540944099426
32.0,400.0,0.8,0.001,3.0,0.3618966042995453
32.0,300.0,0.6,0.001,1.0,0.3201942443847656
64.0,100.0,0.8,0.001,3.0,0.3773207664489746
32.0,200.0,0.6,0.001,2.0,0.33818909525871277
32.0,100.0,0.8,0.001,1.0,0.3701799511909485
128.0,100.0,0.8,0.001,3.0,0.3904598653316498
32.0,100.0,0.6,0.001,1.0,0.36418166756629944
96.0,400.0,0.8,0.001,3.0,0.37589260935783386
32.0,100.0,0.6,0.001,3.0,0.35932591557502747
96.0,200.0,0.8,0.001,2.0,0.38331905007362366
32.0,200.0,0.8,0.001,3.0,0.37874892354011536
96.0,600.0,0.8,0.001,2.0,0.3461868166923523
96.0,200.0,0.8,0.001,1.0,0.3876035511493683
64.0,600.0,0.8,0.001,2.0,0.34647244215011597
